City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Joshimath,IN,2021-10-09 01:21:02,30.5667,79.5667,60.06,56,0,3.33
143,Mugango,TZ,2021-10-09 01:21:02,-1.6833,33.7,72.21,71,85,5.64
144,Linxia,CN,2021-10-09 01:21:03,35.6003,103.2064,39.94,96,100,4.5
145,Giyani,ZA,2021-10-09 01:21:03,-23.3025,30.7187,71.53,55,0,5.19
146,Gawler,AU,2021-10-09 01:21:03,-34.6,138.7333,71.83,39,84,10.83
147,Cloquet,US,2021-10-09 01:21:04,46.7216,-92.4594,60.33,96,90,3.44
148,Saint George,US,2021-10-09 01:16:56,37.1041,-113.5841,62.64,87,1,3.0
149,Arraial Do Cabo,BR,2021-10-09 01:21:04,-22.9661,-42.0278,68.83,66,100,9.37
150,Batagay,RU,2021-10-09 01:21:04,67.6333,134.6333,25.36,65,59,4.63
151,Katobu,ID,2021-10-09 01:21:05,-4.9408,122.5276,87.24,54,58,1.68
152,Lazaro Cardenas,MX,2021-10-09 01:21:05,17.9583,-102.2,81.1,82,66,1.01
153,Kulunda,RU,2021-10-09 01:21:05,52.566,78.9385,37.54,84,2,11.23
154,Mataram,ID,2021-10-09 01:21:06,-8.5833,116.1167,83.21,70,83,11.03
155,Ribnica,SI,2021-10-09 01:21:06,45.7386,14.7275,52.43,94,84,7.43
156,Guerrero Negro,MX,2021-10-09 01:21:06,27.9769,-114.0611,73.08,75,2,21.21
157,Nikolskoye,RU,2021-10-09 01:21:07,59.7035,30.7861,49.39,68,100,6.89
158,Oranjemund,NA,2021-10-09 01:21:07,-28.55,16.4333,55.35,88,6,5.28
159,Hofn,IS,2021-10-09 01:21:07,64.2539,-15.2082,47.75,95,98,4.7
160,Grand Gaube,MU,2021-10-09 01:21:08,-20.0064,57.6608,70.2,77,6,3.0
161,Santa Cruz Del Sur,CU,2021-10-09 01:21:08,20.7147,-77.9956,79.09,82,9,11.7
162,Iraan,US,2021-10-09 01:21:09,30.914,-101.8979,83.14,24,1,5.99
163,Coihaique,CL,2021-10-09 01:21:09,-45.5752,-72.0662,49.95,76,90,0.0
164,Russell,US,2021-10-09 01:18:58,32.3502,-85.1999,72.68,89,1,0.0
165,Katsuura,JP,2021-10-09 01:21:09,35.1333,140.3,80.19,80,93,11.7
166,Saint-Philippe,RE,2021-10-09 01:21:10,-21.3585,55.7679,69.39,81,94,15.48
167,Bambous Virieux,MU,2021-10-09 01:21:10,-20.3428,57.7575,70.05,83,75,3.44
168,Veraval,IN,2021-10-09 01:21:10,20.9,70.3667,81.91,81,100,3.29
169,San Patricio,US,2021-10-09 01:21:11,28.017,-97.5169,79.84,63,13,8.01
170,Praia,CV,2021-10-09 01:21:11,14.9215,-23.5087,79.57,79,11,7.25
171,Hithadhoo,MV,2021-10-09 01:21:11,-0.6,73.0833,82.42,71,100,7.18
172,Comodoro Rivadavia,AR,2021-10-09 01:21:12,-45.8667,-67.5,62.46,39,0,3.44
173,East London,ZA,2021-10-09 01:21:09,-33.0153,27.9116,63.03,76,100,7.05
174,Port Elizabeth,ZA,2021-10-09 01:21:12,-33.918,25.5701,62.89,72,0,19.57
175,Chokurdakh,RU,2021-10-09 01:21:13,70.6333,147.9167,17.06,96,100,6.64
176,Camana,PE,2021-10-09 01:21:13,-16.6228,-72.7111,62.89,92,95,10.16
177,Rocha,UY,2021-10-09 01:21:13,-34.4833,-54.3333,44.73,71,97,4.45
178,Tomatlan,MX,2021-10-09 01:21:14,19.9333,-105.25,81.25,91,19,2.98
