City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
91,Mount Darwin,ZW,-16.7725,31.5838,81.18,30,40,6.49,scattered clouds,0.0,0.0
92,Hovd,MN,48.0056,91.6419,32.95,41,0,1.61,clear sky,0.0,0.0
93,Micomeseng,GQ,2.1462,10.6164,70.81,99,100,3.6,light rain,0.23,0.0
94,Miri,MY,4.4148,114.0089,82.54,89,40,2.3,heavy intensity rain,6.18,0.0
95,Vilyuysk,RU,63.7553,121.6247,33.64,96,100,11.81,overcast clouds,0.0,0.0
96,Yelkhovka,RU,53.8667,50.2832,45.36,65,5,5.48,clear sky,0.0,0.0
97,Anloga,GH,5.7947,0.8973,82.62,83,92,13.47,overcast clouds,0.0,0.0
98,Jamestown,US,42.097,-79.2353,69.39,93,90,5.99,overcast clouds,0.0,0.0
99,Nikolskoye,RU,59.7035,30.7861,53.87,81,100,5.75,light rain,0.42,0.0
100,Caravelas,BR,-17.7125,-39.2481,75.6,71,97,9.57,overcast clouds,0.0,0.0
101,Ahipara,NZ,-35.1667,173.1667,53.92,75,65,10.71,broken clouds,0.0,0.0
102,Hornbaek,DK,56.0854,12.4505,50.99,83,62,9.64,broken clouds,0.0,0.0
103,Tessalit,ML,20.1986,1.0114,93.34,8,48,8.46,scattered clouds,0.0,0.0
104,Pundaguitan,PH,6.3711,126.1689,83.93,70,100,7.99,light rain,0.62,0.0
105,Isabela,PH,6.7085,121.9711,79.21,83,100,3.56,overcast clouds,0.0,0.0
106,Manoel Urbano,BR,-8.8389,-69.2597,88.36,55,90,2.35,overcast clouds,0.0,0.0
107,Sakaiminato,JP,35.55,133.2333,67.98,94,20,6.91,few clouds,0.0,0.0
108,Turukhansk,RU,65.8167,87.9833,24.94,82,100,18.54,overcast clouds,0.0,0.0
109,Iracoubo,GF,5.4802,-53.2011,85.46,68,100,11.54,overcast clouds,0.0,0.0
110,Carcassonne,FR,43.25,2.1667,64.67,67,90,6.91,overcast clouds,0.0,0.0
111,Berlevag,NO,70.8578,29.0864,37.56,92,100,4.32,overcast clouds,0.0,0.0
112,Erenhot,CN,43.6475,111.9767,39.06,51,62,17.56,broken clouds,0.0,0.0
113,Nador,MA,35.174,-2.9287,73.47,73,20,6.91,few clouds,0.0,0.0
114,Kemijarvi,FI,66.7131,27.4306,44.51,96,100,4.65,overcast clouds,0.0,0.0
115,San,ML,13.3034,-4.8956,94.39,17,56,5.3,broken clouds,0.0,0.0
116,Surin,TH,14.8818,103.4936,74.73,95,93,6.62,overcast clouds,0.0,0.0
