City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
54,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Shimanovsk,RU,38.77,light rain,52.0,127.7,Гостиница Домашняя
56,Touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
57,Innisfail,AU,76.06,overcast clouds,-17.5333,146.0333,Moondarra Motel
58,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Katima Mulilo,,86.0,few clouds,-17.5,24.2667,Protea Hotel by Marriott Zambezi River Lodge
60,Alta Gracia,AR,74.73,broken clouds,-31.6529,-64.4283,Hotel Ritz
61,Hobart,AU,48.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
62,Roma,US,69.87,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
63,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,39 On Nile Guest House
64,Chernyshevskiy,RU,33.48,light snow,63.0128,112.4714,Chernyseyskiy
65,Nelson Bay,AU,66.96,clear sky,-32.7167,152.15,Mantra Nelson Bay
66,Butaritari,KI,81.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Nanortalik,GL,38.37,few clouds,60.1432,-45.2371,Hotel Kap Farvel
68,Norman Wells,CA,28.44,mist,65.282,-126.8329,Heritage Hotel
69,Baft,IR,63.19,clear sky,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
70,Fort Saint James,CA,43.54,overcast clouds,54.4333,-124.25,The View Hotel
71,Kodiak,US,47.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
72,Bluff,NZ,40.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
73,College,US,37.29,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
74,Awbari,LY,82.35,clear sky,26.5921,12.7805,فندق أوباري
75,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
